Zero-point magnitude (aper),zp_quadr_err,2MASS-CDS name,2MASS RA,2MASS Dec,2MASS RA (deg),2MASS Dec (deg),2MASS Hmag_stan,2MASS Hmag_stan_err,2MASS Hmag_aper,2MASS Hmag_aper_err,2MASS stan-aper,2MASS stan-aper_err,Sextractor cat #,Sextractor RA,Sextractor Dec,instrumental Hmag (ISOCOR),instrumental Hmag_err (ISOCOR),instrumental Hmag (APER),instrumental Hmag_err (APER),instrumrntal Hmag (AUTO),instrumental Hmag_err (AUTO),instrumental APER-AUTO,instrumental APER-AUTO_err,instrumental Hmag (BEST),instrumental Hmag_err (BEST),CLASS_STAR,Notes
-27.479982,0.1800246799,2MASS J14341059+3534209,14 34 10.600,+35 34 20.94,218.544166,35.572483,14.967,0.084,15.004,0.18,-0.037,0.1986353443,157,218.5441538745,35.5725201524,-12.480294,0.0027656944,-12.475982,0.0029808348,-12.4566765,0.0026356166,-0.0193055,0.0039789259,-12.4566765,0.0026356166,0.9727494,
-27.4864935,0.0240030142,2MASS J14340758+3533485,14 34 07.589,+35 33 48.59,218.531619,35.563496,11.624,0.028,11.624,0.024,0,0.0368781778,152,218.531650322,35.5635550862,-15.944501,0.0003999469,-15.8624935,0.0003803796,-15.923524,0.0003813396,0.0610305,0.0005386172,-15.923524,0.0003813396,0.083180174,near the edge
-27.201315,0.2330551224,2MASS J14341653+3532553,14 34 16.531,+35 32 55.36,218.568878,35.54871,15.978,0.188,15.394,0.233,0.584,0.2993877085,180,218.5688327469,35.548697643,-11.86828,0.00554522,-11.807315,0.0050685387,-11.852565,0.005623302,0.04525,0.0075704432,-11.852565,0.005623302,0.028612858,
-27.407212,0.041011517,2MASS J14340854+3533014,14 34 08.542,+35 33 01.48,218.535591,35.550411,13.315,0.035,13.285,0.041,0.03,0.0539073279,178,218.5356906872,35.5503321026,-14.145865,0.0010461997,-14.122212,0.000971869,-14.117092,0.000960703,-0.00512,0.0013665576,-14.117092,0.000960703,0.97555393,
-27.585325,0.3600465584,2MASS J14341686+3531171,14 34 16.861,+35 31 17.17,218.570253,35.521435,15.627,0.143,15.939,0.36,-0.312,0.3873615882,117,218.5702419234,35.5214469196,-11.632013,0.0047117886,-11.646325,0.0057900073,-11.617586,0.004686733,-0.028739,0.0074491376,-11.617586,0.004686733,0.9696398,
