J-Ks,J-Ks_err,M_calibrated_K=MAG_APER_K+26.445934±0.0033441332,M_calibrated_err_K,M_calibrated_J=MAG_APER_J+28.064628±0.0038446683,M_calibrated_err_J,M_calibrated_H=MAG_APER_H+27.527569±0.0059013404,M_calibrated_err_H,NUMBER_K,X_WORLD_K,Y_WORLD_K,X_IMAGE_K,Y_IMAGE_K,MAG_ISO_K,MAGERR_ISO_K,MAG_ISOCOR_K,MAGERR_ISOCOR_K,MAG_APER_K,MAGERR_APER_K,MAG_AUTO_K,MAGERR_AUTO_K,MAG_BEST_K,MAGERR_BEST_K,ISOAREA_IMAGE_K,THETA_IMAGE_K,ELONGATION_K,CLASS_STAR_K,NUMBER_J,X_WORLD_J,Y_WORLD_J,X_IMAGE_J,Y_IMAGE_J,MAG_ISO_J,MAGERR_ISO_J,MAG_ISOCOR_J,MAGERR_ISOCOR_J,MAG_APER_J,MAGERR_APER_J,MAG_AUTO_J,MAGERR_AUTO_J,MAG_BEST_J,MAGERR_BEST_J,ISOAREA_IMAGE_J,THETA_IMAGE_J,ELONGATION_J,CLASS_STAR_J,NUMBER_H,X_WORLD_H,Y_WORLD_H,X_IMAGE_H,Y_IMAGE_H,MAG_ISO_H,MAGERR_ISO_H,MAG_ISOCOR_H,MAGERR_ISOCOR_H,MAG_APER_H,MAGERR_APER_H,MAG_AUTO_H,MAGERR_AUTO_H,MAG_BEST_H,MAGERR_BEST_H,ISOAREA_IMAGE_H,THETA_IMAGE_H,ELONGATION_H,CLASS_STAR_H
3.0731864,0.8906233473,19.5378186,0.1087220825,22.611005,0.883962361,19.354139,0.0663031479,11,176.6424832655,-0.2324699519,749.0955,22.361471,-6.8041086,0.05039523,-7.066591,0.050887402,-6.9081154,0.10867064,-6.6977153,0.06686686,-6.6977153,0.06686686,54,-84.278755,1.0702554,0.95488954,11,176.6424737282,-0.2324387475,749.0955,22.361471,-5.76537,0.254978,-8.960988,0.028129391,-5.453595,0.883954,99,99,99,99,27,-84.278755,1.0702554,0.75733536,11,176.6424805476,-0.2324633106,749.0955,22.361471,-6.846115,0.08702742,-7.0907907,0.078014515,-8.17343,0.06604,-7.4247947,0.06464388,-7.4247947,0.06464388,43,-84.278755,1.0702554,0.7785755
1.618666,140.0071427677,125.445934,99.0000000565,127.0646,99.0000000747,19.498671,0.0754809863,12,176.6928611153,-0.2324040239,29.6039,22.884535,-6.515404,0.04995406,-6.6518583,0.05043439,99,99,-6.36044,0.0788806,-6.36044,0.0788806,45,-62.679752,1.02295,0.9608146,12,176.6928015124,-0.2323846605,29.6039,22.884535,99,99,99,99,99,99,99,99,99,99,7,-62.679752,1.02295,0.67364544,12,176.6928275352,-0.2324038122,29.6039,22.884535,-5.6371226,0.18891294,-6.2630644,0.14632018,-8.028898,0.07524994,-6.972195,0.08454714,-6.972195,0.08454714,23,-62.679752,1.02295,0.90473056
107.3725985,99.000078883,19.6920015,0.1249162309,127.0646,99.0000000747,126.527569,99.0000001759,13,176.6707622906,-0.232646772,345.219,19.60151,-5.382365,0.10911202,-5.8473277,0.10641678,-6.7539325,0.12487146,-6.1152,0.12441069,-6.1152,0.12441069,27,83.28355,3.0348265,0.7251835,13,176.6707246002,-0.2326220018,345.219,19.60151,-4.257955,0.61238587,-7.4535728,0.06552731,99,99,99,99,99,99,15,83.28355,3.0348265,0.5861823,13,176.6707422221,-0.2326436088,345.219,19.60151,-5.623544,0.16056299,-5.92294,0.14114791,99,99,-3.7137516,2.1472838,-3.7137516,2.1472838,17,83.28355,3.0348265,0.6705056
0.7738407,0.1981737328,19.8242843,0.140823842,20.598125,0.1394326859,19.7461273,0.0944238027,14,176.6808637485,-0.2324939005,200.94978,21.700819,-4.941389,0.14353101,-5.620468,0.12980857,-6.6216497,0.14078413,-6.2705073,0.14288537,-6.2705073,0.14288537,17,-34.838615,2.5795329,0.539915,14,176.6808160517,-0.2324716434,200.94978,21.700819,-3.7496836,0.8675647,-6.9453015,0.09183557,-7.466475,0.13937967,-7.114204,0.14116082,-7.114204,0.14116082,11,-34.838615,2.5795329,0.55054975,14,176.6808375091,-0.2324921121,200.94978,21.700819,-5.4666185,0.16535825,-5.7193,0.14783032,-7.7814417,0.09423921,-7.143348,0.123909034,-7.143348,0.123909034,17,-34.838615,2.5795329,0.6390463
104.4829906,99.015584684,22.5816094,1.756700183,127.0646,99.0000000747,126.527569,99.0000001759,15,176.6642420926,-0.2327289004,438.34042,18.482716,-5.503618,0.090937406,-5.7557096,0.09188409,-3.8643246,1.756697,-5.543075,0.13181712,-5.543075,0.13181712,24,-54.455902,1.147686,0.589403,15,176.6642108648,-0.2327025245,438.34042,18.482716,-5.188606,0.23814861,-5.6298213,0.19584624,99,99,-5.887319,0.2010628,-5.887319,0.2010628,14,-54.455902,1.147686,0.6320812,15,176.6642260091,-0.23272486,438.34042,18.482716,-6.4954123,0.06850223,-6.554175,0.06645217,99,99,-6.0678253,0.15421891,-6.0678253,0.15421891,24,-54.455902,1.147686,0.83566374
107.2493633,99.0000985955,19.8152367,0.1396679408,127.0646,99.0000000747,20.5379717,0.1941988261,16,176.6543581848,-0.2328079234,579.502,17.436138,-6.4216666,0.059837606,-6.6788106,0.06044268,-6.6306973,0.1396279,-6.4670434,0.099072814,-6.4670434,0.099072814,50,56.980503,1.0324804,0.9163202,16,176.6543367639,-0.2327791586,579.502,17.436138,-6.7032924,0.0921706,-6.866892,0.08451834,99,99,-6.7815375,0.15675157,-6.7815375,0.15675157,39,56.980503,1.0324804,0.9082664,16,176.6543481477,-0.232802581,579.502,17.436138,-7.380734,0.046362583,-7.4430532,0.04489357,-6.9895973,0.19410914,-7.852178,0.053970706,-7.852178,0.053970706,46,56.980503,1.0324804,0.96126676
107.5772536,99.0000535785,19.4873464,0.1029260409,127.0646,99.0000000747,20.549352,0.1943326943,17,176.6737991874,-0.2330271415,301.84952,14.143823,-4.9920397,0.13553713,-5.55599,0.12820147,-6.9585876,0.1028717,-6.041843,0.1564368,-6.041843,0.1564368,22,70.126854,2.7815354,0.5312996,17,176.673758389,-0.233002703,301.84952,14.143823,99,99,99,99,99,99,99,99,99,99,5,70.126854,2.7815354,0.39291373,17,176.6737772096,-0.2330241304,301.84952,14.143823,99,99,99,99,-6.978217,0.19424307,99,99,99,99,10,70.126854,2.7815354,0.61634916
0.7600577,0.0518555431,18.5217993,0.0375948887,19.281857,0.0357158466,18.789421,0.0340029553,18,176.6834145615,-0.2336512335,164.52898,5.150544,-7.9112005,0.031572897,-8.231824,0.03169928,-7.9241347,0.03744586,-8.534433,0.040508885,-8.534433,0.040508885,204,-3.069663,2.2773716,0.029665343,18,176.6833640583,-0.2336284221,164.52898,5.150544,-8.294445,0.04470806,-8.464998,0.040877115,-8.782743,0.035508312,-9.786754,0.027486634,-9.786754,0.027486634,153,-3.069663,2.2773716,0.032686394,18,176.6833866122,-0.2336490594,164.52898,5.150544,-8.264671,0.041612037,-8.443329,0.038256932,-8.738148,0.03348694,-10.038657,0.019855022,-10.038657,0.019855022,147,-3.069663,2.2773716,0.49569252
1.7580272,0.2966933017,19.5891888,0.1129115729,21.347216,0.2743681686,19.6084744,0.0826549989,19,176.6800948134,-0.2330169762,211.93597,14.236643,-5.5214677,0.10409341,-6.0287814,0.100298256,-6.8567452,0.11286204,-5.594413,0.19968002,-5.594413,0.19968002,14,-6.5161376,1.3648754,0.4960261,19,176.6800477587,-0.2329940193,211.93597,14.236643,-5.764866,0.16964483,-6.0871887,0.14593533,-6.717384,0.27434123,-6.3258986,0.2186559,-6.3258986,0.2186559,9,-6.5161376,1.3648754,0.6789135,19,176.6800689789,-0.2330147697,211.93597,14.236643,99,99,99,99,-7.9190946,0.08244406,99,99,99,99,3,-6.5161376,1.3648754,0.63305664
106.741119,99.0001837001,20.323481,0.1906774272,127.0646,99.0000000747,126.527569,99.0000001759,20,176.6938974724,-0.2335535967,14.81233,6.457683,-6.357055,0.06641486,-6.7239723,0.06620934,-6.122453,0.1906481,-6.37915,0.097631276,-6.7239723,0.06620934,58,79.72546,1.9422158,0.31359285,20,176.6938365705,-0.2335333326,14.81233,6.457683,99,99,99,99,99,99,99,99,99,99,0,79.72546,1.9422158,0.019272702,20,176.6938631113,-0.2335528119,14.81233,6.457683,99,99,99,99,99,99,99,99,99,99,0,79.72546,1.9422158,0.019272702
107.3410905,99.0000399051,19.7235095,0.088805557,127.0646,99.0000000747,126.527569,99.0000001759,21,176.6946231138,-0.2336340356,4.449466,5.302805,-6.6811504,0.05294006,-6.9347353,0.053486668,-6.7224245,0.08874257,-6.689656,0.06869993,-6.9347353,0.053486668,68,69.07874,1.5015371,0.2793424,21,176.6945614716,-0.2336138612,4.449466,5.302805,99,99,99,99,99,99,99,99,99,99,0,69.07874,1.5015371,0.019272702,21,176.6945882978,-0.2336332936,4.449466,5.302805,99,99,99,99,99,99,99,99,99,99,0,69.07874,1.5015371,0.019272702
107.297691,99.0000759379,19.766909,0.122559862,127.0646,99.0000000747,20.6705667,0.200512101,22,176.6607003998,-0.2333988552,488.92807,8.943817,-5.7151318,0.089295916,-6.082798,0.08900779,-6.679025,0.12251423,-6.5749974,0.12415856,-6.5749974,0.12415856,35,64.980576,1.5791463,0.62364656,22,176.6606725361,-0.2333709855,488.92807,8.943817,-5.5543566,0.20687708,-6.0526805,0.16633615,99,99,99,99,99,99,21,64.980576,1.5791463,0.66133976,22,176.6606864015,-0.2333939551,488.92807,8.943817,99,99,99,99,-6.8570023,0.20042524,-5.922394,0.43435997,-5.922394,0.43435997,17,64.980576,1.5791463,0.7201848
2.174688,0.2791669186,19.30068,0.0764051548,21.475368,0.2685077666,20.441513,0.1535558698,23,176.6788535868,-0.2335644254,229.6676,6.4282923,-6.3990655,0.0653634,-6.7721047,0.06508947,-7.145254,0.076331936,-7.4455013,0.073020756,-6.7721047,0.06508947,63,41.54832,1.4989605,0.17986201,23,176.6788076381,-0.2335406342,229.6676,6.4282923,-5.7754474,0.23039585,-7.4225507,0.09331788,-6.589232,0.26848024,-5.9120693,0.6339109,-7.4225507,0.09331788,35,41.54832,1.4989605,0.8003443,23,176.6788284435,-0.2335617261,229.6676,6.4282923,-6.49326,0.10895579,-6.8085117,0.09524026,-7.086056,0.15344243,-7.773052,0.103619754,-6.8085117,0.09524026,46,41.54832,1.4989605,0.9555506
1.9779,0.4663386732,20.145419,0.1485586839,22.123319,0.4420430698,19.686817,0.0706723602,24,176.6797645283,-0.2337915166,216.65952,3.1773942,-5.613369,0.10148111,-6.1676946,0.0963079,-6.300515,0.14852104,-6.7587814,0.10138836,-6.1676946,0.0963079,31,-5.7641463,4.1320076,0.6249898,24,176.6797176209,-0.2337677126,216.65952,3.1773942,-4.3053303,0.6779808,-7.500948,0.07171797,-5.941281,0.44202635,-6.2383747,0.34728912,-7.500948,0.07171797,16,-5.7641463,4.1320076,0.65658915,24,176.679738798,-0.2337887937,216.65952,3.1773942,-6.839417,0.06315863,-6.915858,0.060727753,-7.840752,0.07042554,-8.421273,0.043140624,-6.915858,0.060727753,35,-5.7641463,4.1320076,0.9476791
106.515749,99.0002771864,20.548851,0.2342396426,127.0646,99.0000000747,24.0140078,4.0676645808,25,176.6644163338,-0.2335833665,435.85904,6.2777734,-5.5820255,0.09892058,-6.0327983,0.09683649,-5.897083,0.23421577,-5.9833465,0.1041922,-5.9833465,0.1041922,31,-57.927914,1.4261659,0.6352468,25,176.6643847329,-0.2335561819,435.85904,6.2777734,99,99,99,99,99,99,99,99,99,99,13,-57.927914,1.4261659,0.64561886,25,176.664400035,-0.2335788246,435.85904,6.2777734,99,99,99,99,-3.5135612,4.0676603,99,99,99,99,19,-57.927914,1.4261659,0.510868
107.553699,99.0000416852,19.510901,0.090768384,127.0646,99.0000000747,19.6444723,0.0734856997,26,176.6759309262,-0.2336070425,271.4091,5.8439445,-5.64364,0.094790265,-6.0632315,0.093495145,-6.935033,0.09070676,-7.187986,0.08189054,-7.187986,0.08189054,32,-31.44361,1.9951073,0.81555307,26,176.675887873,-0.2335825258,271.4091,5.8439445,99,99,99,99,99,99,99,99,99,99,11,-31.44361,1.9951073,0.58482593,26,176.6759075685,-0.2336039464,271.4091,5.8439445,-5.270877,0.2412621,-6.2031894,0.16012423,-7.8830967,0.07324836,-8.183915,0.063350976,-8.183915,0.063350976,27,-31.44361,1.9951073,0.9287616
