M_calibrated_K=MAG_APER_K+26.2715655±0.0033601851,M_calibrated_err_K,M_calibrated_J=MAG_APER_J+27.757166±0.0110146804,M_calibrated_err_J,M_calibrated_H=MAG_APER_H+27.384571±0.0790101107,M_calibrated_err_H,NUMBER_K,X_WORLD_K,Y_WORLD_K,X_IMAGE_K,Y_IMAGE_K,MAG_ISO_K,MAGERR_ISO_K,MAG_ISOCOR_K,MAGERR_ISOCOR_K,MAG_APER_K,MAGERR_APER_K,MAG_AUTO_K,MAGERR_AUTO_K,MAG_BEST_K,MAGERR_BEST_K,ISOAREA_IMAGE_K,THETA_IMAGE_K,ELONGATION_K,CLASS_STAR_K,NUMBER_J,X_WORLD_J,Y_WORLD_J,X_IMAGE_J,Y_IMAGE_J,MAG_ISO_J,MAGERR_ISO_J,MAG_ISOCOR_J,MAGERR_ISOCOR_J,MAG_APER_J,MAGERR_APER_J,MAG_AUTO_J,MAGERR_AUTO_J,MAG_BEST_J,MAGERR_BEST_J,ISOAREA_IMAGE_J,THETA_IMAGE_J,ELONGATION_J,CLASS_STAR_J,NUMBER_H,X_WORLD_H,Y_WORLD_H,X_IMAGE_H,Y_IMAGE_H,MAG_ISO_H,MAGERR_ISO_H,MAG_ISOCOR_H,MAGERR_ISOCOR_H,MAG_APER_H,MAGERR_APER_H,MAG_AUTO_H,MAGERR_AUTO_H,MAG_BEST_H,MAGERR_BEST_H,ISOAREA_IMAGE_H,THETA_IMAGE_H,ELONGATION_H,CLASS_STAR_H
19.7158615,0.1097211745,20.63519,0.070723514,126.384571,99.0000315283,11,204.3125109295,32.1098803662,3.038939,31.464146,-5.888638,0.076647356,-6.185987,0.076957785,-6.555704,0.10966971,-6.1859984,0.11900931,-6.185987,0.076957785,31,84.15063,2.2397015,0.9201725,11,204.3124720027,32.1099044481,3.038939,31.464146,-2.5532584,1.5529945,-5.748876,0.1618553,-7.121976,0.06986052,-6.6690564,0.081768155,-5.748876,0.1618553,20,84.15063,2.2397015,0.7412938,11,204.3125079831,32.1098941304,3.038939,31.464146,99,99,99,99,99,99,99,99,99,99,0,84.15063,2.2397015,0.019272702
19.1124385,0.080999543,21.5330573,0.1988896355,17.669852,0.0832859929,12,204.3092269313,32.109984182,42.70967,32.785458,-6.6250668,0.06004362,-7.1021786,0.058214217,-7.159127,0.080929816,-7.5132384,0.08094361,-7.1021786,0.058214217,63,-4.4466004,2.2817514,0.20699948,12,204.3091885734,32.1100076373,42.70967,32.785458,-5.5904284,0.15448642,-8.786046,0.018168895,-6.2241087,0.1985844,-7.709968,0.071531706,-8.786046,0.018168895,35,-4.4466004,2.2817514,0.77510935,12,204.3092234486,32.109997286,42.70967,32.785458,-7.8818274,0.060372457,-7.9480824,0.057481688,-9.714719,0.026343102,-10.1952505,0.023531346,-7.9480824,0.057481688,52,-4.4466004,2.2817514,0.9782038
19.9382435,0.1703485037,126.757166,99.0000006127,126.384571,99.0000315283,13,204.2626412494,32.1097095755,605.36707,26.743675,-6.0337768,0.07908769,-6.5188494,0.07650651,-6.333322,0.17031536,-6.356707,0.094757974,-6.356707,0.094757974,51,-35.90464,1.3798921,0.22139186,13,204.2626114155,32.1097244609,605.36707,26.743675,-5.5375395,0.12678427,-7.2621474,0.057483815,99,99,-4.4212465,0.5715039,-4.4212465,0.5715039,33,-35.90464,1.3798921,0.8142444,13,204.2626306634,32.1097130444,605.36707,26.743675,-5.848127,0.29447007,-6.562937,0.20533052,99,99,-4.9336624,1.1511875,-4.9336624,1.1511875,28,-35.90464,1.3798921,0.50410956
19.9274889,0.1686996477,21.59801,0.2110060635,126.384571,99.0000315283,14,204.2369061695,32.1095950895,916.1965,24.04096,-5.6291976,0.09649975,-6.147555,0.09242713,-6.3440766,0.16866618,-6.2393446,0.16540784,-6.2393446,0.16540784,34,87.78393,2.249987,0.74093586,14,204.2368810372,32.1096052351,916.1965,24.04096,-4.704964,0.22558573,-7.900582,0.026904944,-6.159156,0.21071838,-6.4661036,0.14220949,-6.4661036,0.14220949,20,87.78393,2.249987,0.5238375,14,204.2368916511,32.1095932402,916.1965,24.04096,-4.3172827,1.0100404,-7.5129004,0.10573276,99,99,99,99,99,99,23,87.78393,2.249987,0.5500536
27.3323447,152.1526300371,126.757166,99.0000006127,20.1155695,0.2567750253,15,204.2284430526,32.1092412225,1018.39996,18.659262,-5.8726177,0.0752911,-6.1360755,0.0758195,1.0607792,152.15263,-5.0167584,0.22317332,-6.1360755,0.0758195,19,-24.454334,1.4112067,0.79794896,15,204.2284195484,32.1092498671,1018.39996,18.659262,99,99,99,99,99,99,99,99,99,99,5,-24.454334,1.4112067,0.48059046,15,204.2284273323,32.1092375754,1018.39996,18.659262,-5.356043,0.36799422,-6.0599804,0.2579638,-7.2690015,0.24431704,-6.0466766,0.29027733,-6.0599804,0.2579638,11,-24.454334,1.4112067,0.7487321
20.2635705,0.2289493993,22.013536,0.3080242307,19.355317,0.1450866673,16,204.2290123803,32.1091923892,1011.5212,17.985256,-5.1052732,0.117677115,-5.520832,0.1158673,-6.007995,0.22892474,-4.7829766,0.27766484,-5.520832,0.1158673,19,56.656357,1.5202861,0.6100247,16,204.2289887853,32.109201148,1011.5212,17.985256,99,99,99,99,-5.74363,0.30782723,-3.251782,1.18097,99,99,7,56.656357,1.5202861,0.46746558,16,204.2289967618,32.1091888519,1011.5212,17.985256,-5.178157,0.34342298,-5.541489,0.27975395,-8.029254,0.12168625,99,99,-5.541489,0.27975395,15,56.656357,1.5202861,0.7412094
20.7825555,0.3676837743,22.1443134,0.3471055481,126.384571,99.0000315283,17,204.2353479355,32.1095289576,935.0141,23.035534,-5.178882,0.11502785,-5.618575,0.11262061,-5.48901,0.36766842,-5.5807734,0.21718788,-5.5807734,0.21718788,15,62.93725,1.7306906,0.5020472,17,204.2353231033,32.109538827,935.0141,23.035534,-4.3782005,0.24017866,-7.5738187,0.030141717,-5.6128526,0.34693074,99,99,99,99,7,62.93725,1.7306906,0.5749457,17,204.2353331962,32.1095267771,935.0141,23.035534,99,99,99,99,99,99,99,99,99,99,5,62.93725,1.7306906,0.42226917
22.8934093,2.5542739102,126.757166,99.0000006127,126.384571,99.0000315283,18,204.2589565009,32.1093330885,649.8534,21.217375,-5.2283273,0.11304704,-5.680329,0.11034032,-3.3781562,2.5542717,-5.41382,0.15131932,-5.41382,0.15131932,17,47.92657,2.48849,0.5574959,18,204.258927433,32.1093473606,649.8534,21.217375,-4.1095777,0.31297264,-7.3051953,0.036421224,99,99,99,99,99,99,5,47.92657,2.48849,0.6439582,18,204.2589454551,32.1093357405,649.8534,21.217375,99,99,99,99,99,99,99,99,99,99,3,47.92657,2.48849,0.64340305
19.8390642,0.142692679,126.757166,99.0000006127,20.642465,0.3708471155,19,204.3120178168,32.1088188711,8.933997,16.303822,-5.0911093,0.12066736,-5.547873,0.11763345,-6.4325013,0.14265311,-5.1558275,0.2932879,-5.547873,0.11763345,16,72.022415,1.413741,0.5887457,19,204.3119792533,32.1088430546,8.933997,16.303822,99,99,99,99,99,99,99,99,99,99,7,72.022415,1.413741,0.5594387,19,204.3120150989,32.1088323702,8.933997,16.303822,99,99,99,99,-6.742106,0.3623327,99,99,99,99,0,72.022415,1.413741,0.019272702
20.0856765,0.1903711171,20.6274196,0.0863931145,18.7996,0.1066139535,20,204.2439238614,32.108796129,831.39624,12.932651,-6.01754,0.07753146,-6.439135,0.07623508,-6.185889,0.19034146,-6.2294273,0.14938119,-6.2294273,0.14938119,50,-72.876755,2.125755,0.8358136,20,204.243897661,32.1088077178,831.39624,12.932651,-5.661342,0.109872356,-6.5612693,0.08718872,-7.1297464,0.08568808,-6.2150583,0.15968715,-6.2150583,0.15968715,32,-72.876755,2.125755,0.9330841,20,204.2439106536,32.1087956021,831.39624,12.932651,99,99,99,99,-8.584971,0.071581684,-7.6095753,0.14188762,-7.6095753,0.14188762,20,-72.876755,2.125755,0.5255872
