J-Ks,J-Ks_err,H-Ks,H-Ks_err,J-H,J-H_err,M_calibrated_K=MAG_APER_K+26.445934±0.0033441332,M_calibrated_err_K,M_calibrated_J=MAG_APER_J+27.93667±0.0224088083,M_calibrated_err_J,M_calibrated_H,M_calibrated_err_H,NUMBER_K,X_WORLD_K,Y_WORLD_K,X_IMAGE_K,Y_IMAGE_K,MAG_ISO_K,MAGERR_ISO_K,MAG_ISOCOR_K,MAGERR_ISOCOR_K,MAG_APER_K,MAGERR_APER_K,MAG_AUTO_K,MAGERR_AUTO_K,MAG_BEST_K,MAGERR_BEST_K,ISOAREA_IMAGE_K,THETA_IMAGE_K,ELONGATION_K,CLASS_STAR_K,NUMBER_J,X_WORLD_J,Y_WORLD_J,X_IMAGE_J,Y_IMAGE_J,MAG_ISO_J,MAGERR_ISO_J,MAG_ISOCOR_J,MAGERR_ISOCOR_J,MAG_APER_J,MAGERR_APER_J,MAG_AUTO_J,MAGERR_AUTO_J,MAG_BEST_J,MAGERR_BEST_J,ISOAREA_IMAGE_J,THETA_IMAGE_J,ELONGATION_J,CLASS_STAR_J,NUMBER_H,X_WORLD_H,Y_WORLD_H,X_IMAGE_H,Y_IMAGE_H,MAG_ISO_H,MAGERR_ISO_H,MAG_ISOCOR_H,MAGERR_ISOCOR_H,MAG_APER_H,MAGERR_APER_H,MAG_AUTO_H,MAGERR_AUTO_H,MAG_BEST_H,MAGERR_BEST_H,ISOAREA_IMAGE_H,THETA_IMAGE_H,ELONGATION_H,CLASS_STAR_H
2.6401486,0.8298458857,,,,,20.188236,0.2345670292,22.8283846,0.7960040847,,,11,158.2818247002,59.1158216995,339.35056,32.543835,-7.047853,0.041842118,-7.185087,0.04247802,-6.257698,0.23454319,-7.0733213,0.056771826,-7.0733213,0.056771826,53,75.92794,1.2231966,0.9597458,11,158.2818526736,59.1157845369,339.35056,32.543835,-5.9117694,0.12688754,-7.1011925,0.081701554,-5.1082854,0.7956886,-6.181066,0.14566305,-6.181066,0.14566305,44,75.92794,1.2231966,0.022461433,,,,,,,,,,,,,,,,,,,
1.490736,140.0071445082,,,,,125.445934,99.0000000565,126.93667,99.0000025361,,,12,158.2476050157,59.1152301993,590.483,23.82096,-5.7687454,0.09568053,-6.16966,0.09533952,99,99,-6.2201567,0.11888085,-6.16966,0.09533952,28,-17.578754,1.1925915,0.8129474,12,158.2476127879,59.115186752,590.483,23.82096,-1.9710988,3.4417107,-5.1667166,0.35776854,99,99,99,99,-5.1667166,0.35776854,8,-17.578754,1.1925915,0.36458513,,,,,,,,,,,,,,,,,,,
1.579823,0.0606610509,,,,,18.068686,0.0351106099,19.648509,0.0494672434,,,13,158.2726418477,59.1157111286,406.7419,30.878962,-8.463244,0.017418927,-8.513792,0.017508408,-8.377248,0.03495099,-8.465187,0.020369953,-8.465187,0.020369953,115,16.22521,1.0369158,0.9826295,13,158.2726643674,59.115672309,406.7419,30.878962,-7.6099224,0.038679,-7.777434,0.038137108,-8.288161,0.044100493,-7.814926,0.039822485,-7.814926,0.039822485,115,16.22521,1.0369158,0.016427882,,,,,,,,,,,,,,,,,,,
-0.2277063,1.4206350322,,,,,22.1197793,1.3799204521,21.892073,0.3376735709,,,14,158.2236230319,59.1155136644,766.4924,27.764254,-6.2846107,0.07132013,-6.5925093,0.07216251,-4.3261547,1.3799164,-6.184599,0.12545261,-6.184599,0.12545261,37,-68.27725,1.6686479,0.92438424,14,158.2236161932,59.1154662302,766.4924,27.764254,-4.7625656,0.31708816,-7.9581833,0.03527999,-6.044597,0.3369292,-6.0185294,0.17102493,-6.0185294,0.17102493,19,-68.27725,1.6686479,0.6756216,,,,,,,,,,,,,,,,,,,
1.8371128,0.2037445777,,,,,19.321112,0.1066420964,21.1582248,0.1736067862,,,15,158.2665405756,59.1155264064,451.51657,28.187208,-7.1348057,0.039968167,-7.2686234,0.040564656,-7.124822,0.10658965,-7.1541085,0.053779263,-7.1541085,0.053779263,64,29.306295,1.0696695,0.96156657,15,158.2665595454,59.1154864187,451.51657,28.187208,-5.899779,0.13212228,-7.4521384,0.065968305,-6.7784452,0.17215447,-6.472991,0.113988474,-6.472991,0.113988474,34,29.306295,1.0696695,0.08449329,,,,,,,,,,,,,,,,,,,
1.490736,140.0071445082,,,,,125.445934,99.0000000565,126.93667,99.0000025361,,,16,158.204697285,59.1154710481,905.3902,27.113098,-6.271604,0.067418575,-6.503863,0.06859736,99,99,-6.207881,0.10611179,-6.207881,0.10611179,34,-83.88059,1.2835399,0.7383013,16,158.2046790946,59.1154203052,905.3902,27.113098,99,99,99,99,99,99,99,99,99,99,20,-83.88059,1.2835399,0.63232404,,,,,,,,,,,,,,,,,,,
-104.9975314,99.0000438084,,,,,125.445934,99.0000000565,20.4484026,0.0930746395,,,17,158.2693121016,59.1148802769,431.16568,18.971603,-5.5063334,0.09788386,-5.7608933,0.09949806,99,99,-5.753592,0.12496533,-5.753592,0.12496533,20,58.51043,2.1012087,0.67151713,17,158.269333164,59.1148403797,431.16568,18.971603,-4.5450625,0.2611748,-7.74068,0.03315336,-7.4882674,0.09033678,-5.5080233,0.18176837,-5.5080233,0.18176837,14,58.51043,2.1012087,0.41490427,,,,,,,,,,,,,,,,,,,
-104.496804,99.000104895,,,,,125.445934,99.0000000565,20.94913,0.1440765153,,,18,158.2138452485,59.1149311794,838.25,19.409567,-5.9050784,0.08273354,-6.178078,0.08399403,99,99,-5.7254467,0.1635102,-5.7254467,0.1635102,28,4.7317414,1.7495524,0.8924856,18,158.2138329137,59.1148816982,838.25,19.409567,-4.196454,0.43343338,-7.3920717,0.047630753,-6.98754,0.14232318,-4.1137857,0.8340405,-4.1137857,0.8340405,11,4.7317414,1.7495524,0.4660124,,,,,,,,,,,,,,,,,,,
-102.727569,99.0015350361,,,,,125.445934,99.0000000565,22.718365,0.5512969486,,,19,158.2660273097,59.1137320641,455.25583,2.5283084,-5.968013,0.06995156,-6.1155734,0.07106713,99,99,-5.72683,0.120767616,-6.1155734,0.07106713,17,-28.566547,2.9318645,0.89368737,19,158.2660471507,59.1136909055,455.25583,2.5283084,99,99,99,99,-5.218305,0.55084133,-2.97534,1.7129971,99,99,4,-28.566547,2.9318645,0.36481184,,,,,,,,,,,,,,,,,,,
1.5885386,0.2460185424,,,,,19.6986944,0.1501105846,21.287233,0.1949152011,,,20,158.2647011967,59.1147093302,465.00357,16.490492,-7.453014,0.03918843,-7.6868563,0.03987161,-6.7472396,0.15007333,-6.945761,0.103375226,-7.6868563,0.03987161,96,25.312778,2.1745255,0.91424817,20,158.2647195971,59.1146685312,465.00357,16.490492,-5.4617167,0.2634681,-8.657334,0.028498644,-6.649437,0.19362278,-6.1306715,0.2554167,-8.657334,0.028498644,37,25.312778,2.1745255,0.026947724,,,,,,,,,,,,,,,,,,,
