Zero-point magnitude (aper),zp_quadr_err,2MASS-CDS name,2MASS RA,2MASS Dec,2MASS RA (deg),2MASS Dec (deg),2MASS Kmag_stan,2MASS Kmag_stan_err,2MASS Kmag_aper,2MASS Kmag_aper_err,2MASS stan-aper,2MASS stan-aper_err,Sextractor cat #,Sextractor RA,Sextractor Dec,instrumental Kmag (ISOCOR),instrumental Kmag_err (ISOCOR),instrumental Kmag (APER),instrumental Kmag_err (APER),instrumrntal Kmag (AUTO),instrumental Kmag_err (AUTO),instrumental APER-AUTO,instrumental APER-AUTO_err,instrumental Kmag (BEST),instrumental Kmag_err (BEST),CLASS_STAR,Notes
-26.459517,0.099045055,2MASS J14341059+3534209,14 34 10.600,+35 34 20.94,218.544166,35.572483,14.837,0.088,14.845,0.099,-0.008,0.1324575404,430,218.544123314,35.572539212,-11.620713,0.0029616328,-11.614517,0.002987127,-11.593355,0.0028940137,-0.021162,0.0041591157,-11.593355,0.0028940137,0.980488,
-26.375866,0.0210084795,2MASS J14340758+3533485,14 34 07.589,+35 33 48.59,218.531619,35.563496,11.562,0.02,11.562,0.021,0,0.029,464,218.5315469354,35.5635455419,-14.853277,0.0006000849,-14.813866,0.0005968358,-14.818694,0.0005960021,0.004828,0.000843464,-14.818694,0.0005960021,0.9918069,
-26.621425,0.249023383,2MASS J14341653+3532553,14 34 16.531,+35 32 55.36,218.568878,35.54871,15.706,0.204,15.234,0.249,0.472,0.3218959459,209,218.5688661674,35.5487292456,-11.495347,0.0036157775,-11.387425,0.0034125166,-11.46613,0.0036253072,0.078705,0.0049787671,-11.46613,0.0036253072,0.028650403,
-26.328936,0.0340224562,2MASS J14340854+3533014,14 34 08.542,+35 33 01.48,218.535591,35.550411,13.076,0.028,13.039,0.034,0.037,0.0440454311,201,218.535615851,35.5503103783,-13.317563,0.0012582695,-13.289936,0.0012359314,-13.284352,0.0012349624,-0.005584,0.0017471859,-13.284352,0.0012349624,0.9844612,
-26.426841,0.2960478453,2MASS J14341686+3531171,14 34 16.861,+35 31 17.17,218.570253,35.521435,15.929,0.252,15.745,0.296,0.184,0.3887415594,347,218.570287106,35.5214167593,-10.674409,0.0049033687,-10.681841,0.0053222845,-10.654654,0.004859986,-0.027187,0.0072073696,-10.654654,0.004859986,0.978673,
-25.9348745,0.2540312435,2MASS J14340626+3531369,14 34 06.263,+35 31 36.97,218.526095,35.526936,15.584,0.202,14.802,0.254,0.782,0.32453043,316,218.5259476376,35.5271303834,-11.372873,0.004227265,-11.1328745,0.003984051,-11.3512335,0.00427437,0.218359,0.0058431927,-11.3512335,0.00427437,0.028633067,
-26.835725,0.9530228677,2MASS J14340737+3530551,14 34 07.370,+35 30 55.12,218.53071,35.515312,15.676,0.192,16.47,0.953,-0.794,0.9721486512,9,218.5306739966,35.5153890138,-10.3656645,0.005788369,-10.365725,0.006602001,-10.343708,0.0057881856,-0.022017,0.0087800632,-10.3656645,0.005788369,0.98141277,
