Zero-point magnitude (aper),zp_quadr_err,2MASS-CDS name,2MASS RA,2MASS Dec,2MASS RA (deg),2MASS Dec (deg),2MASS Jmag_stan,2MASS Jmag_stan_err,2MASS Jmag_aper,2MASS Jmag_aper_err,2MASS stan-aper,2MASS stan-aper_err,Sextractor cat #,Sextractor RA,Sextractor Dec,instrumental Jmag (ISOCOR),instrumental Jmag_err (ISOCOR),instrumental Jmag (APER),instrumental Jmag_err (APER),instrumrntal Jmag (AUTO),instrumental Jmag_err (AUTO),instrumental APER-AUTO,instrumental APER-AUTO_err,instrumental Jmag (BEST),instrumental Jmag_err (BEST),CLASS_STAR,Notes
-28.458262,0.2500350587,2MASS J13230885+3324245,13 23 08.857,+33 24 24.59,200.786904,33.40683,17.178,0.25,17.058,0.25,0.12,0.3535533906,292,200.7869780036,33.4068426444,-11.41301,0.0040431973,-11.400262,0.0041869506,-11.390268,0.004002025,-0.009994,0.0057919564,-11.390268,0.004002025,0.8144478,
-28.049469,0.1320160738,2MASS J13230580+3324119,13 23 05.809,+33 24 11.93,200.774204,33.403313,15.646,0.068,15.56,0.132,0.086,0.1484856895,314,200.7741524381,33.4032330358,-12.497823,0.002067631,-12.489469,0.0020600315,-12.466841,0.0019639921,-0.022628,0.0028462246,-12.466841,0.0019639921,0.9836536,
-28.02033,0.0250155649,2MASS J13230440+3322405,13 23 04.409,+33 22 40.57,200.76837,33.377937,13.989,0.028,13.97,0.025,0.019,0.0375366488,151,200.7682770429,33.377983666,-14.077955,0.0009140468,-14.05033,0.0008823206,-14.041835,0.0008785726,-0.008495,0.0012451424,-14.041835,0.0008785726,0.9867403,
-27.458278,0.0020215165,2MASS J13231810+3321021,13 23 18.107,+33 21 02.11,200.825446,33.350586,11.115,0.017,11.114,0.002,0.001,0.0171172428,1,200.8255047303,33.3505720957,-16.3993,0.0002958645,-16.344278,0.0002941581,-16.365728,0.0002921441,0.02145,0.0004145807,-16.365728,0.0002921441,0.9896766,
-28.134486,0.1800161827,2MASS J13230524+3321091,13 23 05.244,+33 21 09.19,200.77185,33.352554,16.151,0.106,15.905,0.18,0.246,0.2088923168,50,200.7718579288,33.3525775878,-12.411148,0.0028049406,-12.229486,0.002413716,-12.367049,0.0027184356,0.137563,0.0036353703,-12.367049,0.0027184356,0.0296373,
