M_calibrated_K=MAG_APER_K+26.2715655±0.0033601851,M_calibrated_err_K,M_calibrated_J=MAG_APER_J+27.93667±0.0224088083,M_calibrated_err_J,M_calibrated_H=MAG_APER_H+27.467062±0.0230624783,M_calibrated_err_H,NUMBER_K,X_WORLD_K,Y_WORLD_K,X_IMAGE_K,Y_IMAGE_K,MAG_ISO_K,MAGERR_ISO_K,MAG_ISOCOR_K,MAGERR_ISOCOR_K,MAG_APER_K,MAGERR_APER_K,MAG_AUTO_K,MAGERR_AUTO_K,MAG_BEST_K,MAGERR_BEST_K,ISOAREA_IMAGE_K,THETA_IMAGE_K,ELONGATION_K,CLASS_STAR_K,NUMBER_J,X_WORLD_J,Y_WORLD_J,X_IMAGE_J,Y_IMAGE_J,MAG_ISO_J,MAGERR_ISO_J,MAG_ISOCOR_J,MAGERR_ISOCOR_J,MAG_APER_J,MAGERR_APER_J,MAG_AUTO_J,MAGERR_AUTO_J,MAG_BEST_J,MAGERR_BEST_J,ISOAREA_IMAGE_J,THETA_IMAGE_J,ELONGATION_J,CLASS_STAR_J,NUMBER_H,X_WORLD_H,Y_WORLD_H,X_IMAGE_H,Y_IMAGE_H,MAG_ISO_H,MAGERR_ISO_H,MAG_ISOCOR_H,MAGERR_ISOCOR_H,MAG_APER_H,MAGERR_APER_H,MAG_AUTO_H,MAGERR_AUTO_H,MAG_BEST_H,MAGERR_BEST_H,ISOAREA_IMAGE_H,THETA_IMAGE_H,ELONGATION_H,CLASS_STAR_H
18.2508255,0.0413673892,20.409061,0.0803469862,19.349116,0.0979771134,11,218.5872396478,35.5151129251,279.009,43.512897,-7.924632,0.025520034,-8.04354,0.025748115,-8.02074,0.041230693,-7.948525,0.03251912,-7.948525,0.03251912,143,77.38515,1.1237065,0.05584539,11,218.5871692638,35.5151741822,279.009,43.512897,-7.464729,0.04349286,-7.7075653,0.042030394,-7.527609,0.07715882,-7.6213055,0.05134109,-7.6213055,0.05134109,119,77.38515,1.1237065,0.020078417,11,218.5871683796,35.5151561895,279.009,43.512897,-7.8453755,0.062313788,-7.9790397,0.057338405,-8.117946,0.09522414,-7.946875,0.079147734,-7.946875,0.079147734,93,77.38515,1.1237065,0.22350797
125.2715655,99.000000057,126.93667,99.0000025361,126.467062,99.0000026863,12,218.5552862533,35.5122178596,650.7664,1.9783766,-6.8387823,0.033652995,-6.879552,0.03368696,99,99,-6.585261,0.04890569,-6.879552,0.03368696,19,-10.233891,1.3233539,0.8738234,12,218.5552759382,35.5122825326,650.7664,1.9783766,99,99,99,99,99,99,99,99,99,99,1,-10.233891,1.3233539,0.34903103,12,218.5552804665,35.5122498723,650.7664,1.9783766,99,99,99,99,99,99,99,99,99,99,3,-10.233891,1.3233539,0.34985647
19.2008248,0.0958408023,21.8372137,0.2833387684,21.1526294,0.4982685923,13,218.5543429044,35.5133513348,661.7463,18.17747,-7.379828,0.034558292,-7.5307937,0.034944016,-7.0707407,0.09578188,-7.371109,0.053460695,-7.5307937,0.034944016,81,-56.30796,1.1138291,0.981433,13,218.5543342477,35.513413827,661.7463,18.17747,-4.926452,0.3502087,-8.12207,0.037381064,-6.0994563,0.28245124,-5.7002764,0.29001054,-8.12207,0.037381064,27,-56.30796,1.1138291,0.633301,13,218.5543380739,35.5133806057,661.7463,18.17747,-5.2828393,0.53953874,-8.478457,0.05669604,-6.3144326,0.49773458,-3.5756617,4.3909655,-8.478457,0.05669604,26,-56.30796,1.1138291,0.6261246
19.1564925,0.0759223443,126.93667,99.0000025361,126.467062,99.0000026863,14,218.5537554555,35.5123894618,668.578,4.426945,-7.978358,0.025024038,-8.1000805,0.02525349,-7.115073,0.07584795,-6.743629,0.118147165,-8.1000805,0.02525349,129,-10.644326,3.262086,0.5808696,14,218.5537479889,35.512453718,668.578,4.426945,99,99,99,99,99,99,99,99,99,99,32,-10.644326,3.262086,0.16580497,14,218.5537525571,35.5124203225,668.578,4.426945,99,99,99,99,99,99,99,99,99,99,22,-10.644326,3.262086,0.009360861
16.4313915,0.009929504,17.989348,0.0244699561,17.42159,0.0285585603,15,218.5522260217,35.5144014519,686.37933,33.1821,-10.123191,0.008868582,-10.220116,0.00892994,-9.840174,0.009343672,-10.09116,0.013081378,-10.220116,0.00892994,922,-50.24118,1.1801198,0.028634576,15,218.5522212276,35.5144618461,686.37933,33.1821,-9.989391,0.011426765,-10.106868,0.0112403,-9.947322,0.009829754,-10.08099,0.015756434,-10.106868,0.0112403,748,-50.24118,1.1801198,0.028445428,15,218.5522245343,35.5144275227,686.37933,33.1821,-10.044114,0.021284096,-10.152628,0.019860392,-10.045472,0.016843796,-9.984808,0.035481207,-10.152628,0.019860392,564,-50.24118,1.1801198,0.034915414
18.5011905,0.0514654077,20.069037,0.0611736178,19.639582,0.1263102193,16,218.5535003663,35.5133704136,671.5492,18.447876,-7.830987,0.028105274,-7.982695,0.028420096,-7.770375,0.051355597,-7.8867273,0.03923837,-7.982695,0.028420096,140,64.52435,1.6314065,0.0430074,16,218.5534932846,35.5134328175,671.5492,18.447876,-7.6807623,0.037233252,-7.872329,0.03626992,-7.867633,0.056921497,-7.8228507,0.04976528,-7.872329,0.03626992,133,64.52435,1.6314065,0.011700687,16,218.5534971861,35.5133991994,671.5492,18.447876,-7.6588,0.07596555,-7.857176,0.067656666,-7.82748,0.12418693,-7.8519397,0.10092244,-7.857176,0.067656666,89,64.52435,1.6314065,0.368412
25.5667556,32.8875961717,24.2300233,2.5435440135,126.467062,99.0000026863,17,218.5241496349,35.5143945138,1013.0423,33.05824,-6.189988,0.06858514,-6.474436,0.06918648,-0.7048099,32.887596,-6.2523375,0.11375736,-6.474436,0.06918648,42,-67.64149,1.3517989,0.9386841,17,218.5241973872,35.5144531746,1013.0423,33.05824,-1.1765287,7.5818872,-4.372146,0.7875486,-3.7066467,2.5434453,-2.548269,4.0794673,-4.372146,0.7875486,0,-67.64149,1.3517989,0.019302681,17,218.5242036602,35.5144056977,1013.0423,33.05824,99,99,99,99,99,99,99,99,99,99,0,-67.64149,1.3517989,0.019272702
16.7132445,0.0120398348,17.06699,0.0229653496,16.952209,0.0256495271,18,218.6037762188,35.5146938388,86.60672,37.648876,-9.562786,0.009227065,-9.5958395,0.00923003,-9.558321,0.011561435,-9.538919,0.010004327,-9.538919,0.010004327,279,-5.847947,1.0936277,0.90952325,18,218.6036749319,35.5147569235,86.60672,37.648876,-10.7789955,0.004578442,-10.787554,0.004571933,-10.86968,0.005025196,-10.823265,0.004646036,-10.823265,0.004646036,332,-5.847947,1.0936277,0.4243476,18,218.6036726044,35.5147467234,86.60672,37.648876,-10.476019,0.008517848,-10.4877825,0.008458032,-10.514853,0.011225878,-10.486786,0.009281903,-10.486786,0.009281903,255,-5.847947,1.0936277,0.97218925
17.7120265,0.0261719613,19.432804,0.0394648973,18.539613,0.0511386126,19,218.5955348571,35.5146544624,182.49252,37.01903,-8.3292885,0.019224094,-8.405177,0.01931491,-8.559539,0.02595536,-8.543738,0.024256922,-8.405177,0.01931491,163,11.242962,1.1757251,0.047645822,19,218.5954489948,35.5147171004,182.49252,37.01903,-8.276521,0.023009783,-8.358104,0.02273533,-8.503866,0.032485742,-8.506449,0.029726425,-8.358104,0.02273533,162,11.242962,1.1757251,0.024941744,19,218.5954475619,35.5147030428,182.49252,37.01903,-8.610834,0.032799806,-8.663079,0.031681243,-8.927449,0.04564296,-8.867756,0.043827333,-8.663079,0.031681243,144,11.242962,1.1757251,0.04448835
17.4090605,0.0204246918,18.778251,0.0291041571,18.318177,0.0439167644,20,218.5956797233,35.5139525649,180.80043,26.987293,-8.893778,0.014149077,-8.954549,0.014192635,-8.862505,0.020146394,-8.934651,0.017119305,-8.954549,0.014192635,234,-22.050814,1.1450549,0.028551886,20,218.5955936569,35.514016526,180.80043,26.987293,-8.967919,0.015229316,-9.0230665,0.01509945,-9.158419,0.01857141,-9.135668,0.01697813,-9.0230665,0.01509945,254,-22.050814,1.1450549,0.026576316,20,218.5955927052,35.5140026099,180.80043,26.987293,-9.087082,0.025510125,-9.134395,0.024720548,-9.148885,0.037373845,-9.11086,0.033973552,-9.134395,0.024720548,196,-22.050814,1.1450549,0.02019892
