Elliptical.norm_LIR_h_ks_redshift_0_2_1,Elliptical.norm_LIR_j_h_redshift_0_2_1,Elliptical.norm_LIR_j_ks_redshift_0_2_1,Elliptical.norm_LIR_redshift_0_2_1,Ly_break.norm_LIR_h_ks_redshift_0_2_1,Ly_break.norm_LIR_j_h_redshift_0_2_1,Ly_break.norm_LIR_j_ks_redshift_0_2_1,Ly_break.norm_LIR_redshift_0_2_1,Red_SF_glx_2.norm_LIR_h_ks_redshift_0_2_1,Red_SF_glx_2.norm_LIR_j_h_redshift_0_2_1,Red_SF_glx_2.norm_LIR_j_ks_redshift_0_2_1,Red_SF_glx_2.norm_LIR_redshift_0_2_1
0.329,0.691,1.02,0,0.347,0.768,1.12,0,0.497,0.905,1.4,0
0.6,0.608,1.21,0.5,0.681,0.949,1.63,0.5,0.848,1.12,1.96,0.5
0.702,0.969,1.67,1,1.04,1.05,2.08,1,1.21,1.23,2.44,1
1.02,1.07,2.09,1.5,1.11,1.22,2.33,1.5,1.29,1.37,2.67,1.5
1.11,1.35,2.46,2,1.22,1.74,2.96,2,1.39,1.74,3.13,2
1.22,1.83,3.05,2.5,1.42,2.33,3.75,2.5,1.55,2.26,3.81,2.5
1.52,1.85,3.38,3,1.96,2.21,4.17,3,1.93,2.14,4.07,3
1.92,1.98,3.9,3.5,2.5,2.69,5.18,3.5,2.37,2.11,4.48,3.5
2.02,2.22,4.24,4,2.44,3.36,5.8,4,2.36,2.17,4.54,4
2.04,1.94,3.98,4.5,2.52,2.89,5.41,4.5,2.26,1.9,4.16,4.5
