Zero-point magnitude (aper),zp_quadr_err,2MASS-CDS name,2MASS RA,2MASS Dec,2MASS RA (deg),2MASS Dec (deg),2MASS Jmag_stan,2MASS Jmag_stan_err,2MASS Jmag_aper,2MASS Jmag_aper_err,2MASS stan-aper,2MASS stan-aper_err,Sextractor cat #,Sextractor RA,Sextractor Dec,instrumental Jmag (ISOCOR),instrumental Jmag_err (ISOCOR),instrumental Jmag (APER),instrumental Jmag_err (APER),instrumrntal Jmag (AUTO),instrumental Jmag_err (AUTO),instrumental APER-AUTO,instrumental APER-AUTO_err,instrumental Jmag (BEST),instrumental Jmag_err (BEST),CLASS_STAR,Notes
-26.778958,0.1710661162,2MASS J13371480+3210563,13 37 14.801,+32 10 56.32,204.31167,32.182312,15.877,0.075,15.745,0.171,0.132,0.1867243958,61,204.3115959708,32.1820966135,-11.193612,0.0050685196,-11.033958,0.0047556413,-11.109238,0.0052373535,0.07528,0.0070743195,-11.109238,0.0052373535,0.85482454,near the edge
-27.82951,0.38203455,2MASS J13370808+3209519,13 37 08.082,+32 09 51.98,204.283677,32.16444,16.636,0.134,16.742,0.382,-0.106,0.4048209481,217,204.2836318037,32.1644219626,-11.078,0.0046193087,-11.08751,0.005137838,-11.063469,0.004616455,-0.024041,0.0069071728,-11.063469,0.004616455,0.59812504,
-27.757166,0.0110146804,2MASS J13371073+3208479,13 37 10.735,+32 08 47.98,204.294728,32.14666,12.813,0.018,12.813,0.011,0,0.0210950231,82,204.2949348315,32.1466712263,-14.980009,0.0005822702,-14.944166,0.0005684929,-14.949735,0.0005682535,0.005569,0.0008038011,-14.949735,0.0005682535,0.9903617,
-27.83965,0.1930781705,2MASS J13370242+3208323,13 37 02.422,+32 08 32.37,204.260092,32.142326,16.852,0.175,16.843,0.193,0.009,0.2605263902,99,204.2602420246,32.1421574836,-11.0805235,0.0059354804,-10.99665,0.0054936255,-11.066355,0.005975063,0.069705,0.0081167296,-11.066355,0.005975063,0.028629553,
-27.656693,0.1210280014,2MASS J13371299+3207085,13 37 13.000,+32 07 08.52,204.304166,32.119034,15.739,0.072,15.569,0.121,0.17,0.1408012784,158,204.3042076624,32.1189661335,-12.101957,0.0026096331,-12.087693,0.0026032927,-12.078601,0.0025401108,-0.009092,0.0036372099,-12.078601,0.0025401108,0.5865857,
-27.837771,0.1020282553,2MASS J13370830+3207236,13 37 08.304,+32 07 23.61,204.284602,32.123226,15.598,0.061,15.62,0.102,-0.022,0.1188486432,145,204.2845364388,32.123258271,-12.227727,0.002405122,-12.217771,0.0024010162,-12.205193,0.0023253807,-0.012578,0.0033424952,-12.205193,0.0023253807,0.80274194,
-27.804554,0.0480164476,2MASS J13370637+3207241,13 37 06.376,+32 07 24.12,204.276566,32.123367,14.444,0.028,14.449,0.048,-0.005,0.055569776,144,204.2765715124,32.1234334826,-13.376721,0.0012996506,-13.355554,0.0012566794,-13.350531,0.0012505804,-0.005023,0.0017729057,-13.350531,0.0012505804,0.9582783,
-27.81498,0.136025027,2MASS J13370102+3207331,13 37 01.029,+32 07 33.15,204.254289,32.125874,15.774,0.066,15.731,0.136,0.043,0.1511687798,138,204.2543131408,32.1258675393,-12.0904455,0.0025845538,-12.08398,0.0026092075,-12.069462,0.0025111295,-0.014518,0.0036212892,-12.069462,0.0025111295,0.7707924,
-28.155772,0.4190362709,2MASS J13365894+3207117,13 36 58.944,+32 07 11.79,204.2456,32.119942,17.33,0.264,17.164,0.419,0.166,0.495234288,154,204.2454992177,32.120142842,-11.048639,0.0057397876,-10.991772,0.0055132853,-11.037973,0.0059344308,0.046201,0.0081002336,-11.037973,0.0059344308,0.02861698,
