J-Ks,J-Ks_err,H-Ks,H-Ks_err,J-H,J-H_err,M_calibrated_K=MAG_APER_K+26.445934±0.0033441332,M_calibrated_err_K,M_calibrated_J=MAG_APER_J+27.93667±0.0224088083,M_calibrated_err_J,M_calibrated_H=MAG_APER_H+27.467062±0.0230624783,M_calibrated_err_H,NUMBER_K,X_WORLD_K,Y_WORLD_K,X_IMAGE_K,Y_IMAGE_K,MAG_ISO_K,MAGERR_ISO_K,MAG_ISOCOR_K,MAGERR_ISOCOR_K,MAG_APER_K,MAGERR_APER_K,MAG_AUTO_K,MAGERR_AUTO_K,MAG_BEST_K,MAGERR_BEST_K,ISOAREA_IMAGE_K,THETA_IMAGE_K,ELONGATION_K,CLASS_STAR_K,NUMBER_J,X_WORLD_J,Y_WORLD_J,X_IMAGE_J,Y_IMAGE_J,MAG_ISO_J,MAGERR_ISO_J,MAG_ISOCOR_J,MAGERR_ISOCOR_J,MAG_APER_J,MAGERR_APER_J,MAG_AUTO_J,MAGERR_AUTO_J,MAG_BEST_J,MAGERR_BEST_J,ISOAREA_IMAGE_J,THETA_IMAGE_J,ELONGATION_J,CLASS_STAR_J,NUMBER_H,X_WORLD_H,Y_WORLD_H,X_IMAGE_H,Y_IMAGE_H,MAG_ISO_H,MAGERR_ISO_H,MAG_ISOCOR_H,MAGERR_ISOCOR_H,MAG_APER_H,MAGERR_APER_H,MAG_AUTO_H,MAGERR_AUTO_H,MAG_BEST_H,MAGERR_BEST_H,ISOAREA_IMAGE_H,THETA_IMAGE_H,ELONGATION_H,CLASS_STAR_H
1.3330393,0.1070264561,0.5752427,0.0890636989,0.7577966,0.1169187451,18.8993513,0.0534649971,20.2323906,0.0927154593,19.474594,0.071230868,11,200.8266118445,33.3431825395,280.06186,45.6289,-7.438688,0.031375084,-7.584035,0.0315348,-7.5465827,0.05336031,-7.378137,0.045492,-7.378137,0.045492,112,18.45514,1.221712,0.22120185,11,200.8266278998,33.3431462385,280.06186,45.6289,-7.5014873,0.052397244,-7.6337743,0.04895815,-7.7042794,0.08996667,-7.659638,0.067029916,-7.659638,0.067029916,93,18.45514,1.221712,0.29592448,11,200.8266190678,33.3431325477,280.06186,45.6289,-7.6934595,0.043326482,-7.7935176,0.04115211,-7.992468,0.067394055,-7.867222,0.054202374,-7.867222,0.054202374,107,18.45514,1.221712,0.011893306
0.7591613,0.1376459297,0.4647029,0.1475604335,0.2944584,0.1501813565,19.5532987,0.0953048889,20.31246,0.0993145515,20.0180016,0.1126546035,12,200.8135445538,33.3427391242,436.29297,39.3372,-6.818385,0.04545174,-7.0369143,0.045726545,-6.8926353,0.0952462,-6.771624,0.06249313,-7.0369143,0.045726545,82,-85.4567,1.3517599,0.3274678,12,200.8135586068,33.3427050437,436.29297,39.3372,-6.857541,0.07947527,-7.0626802,0.072018735,-7.62421,0.096753426,-7.2003937,0.08106571,-7.0626802,0.072018735,66,-85.4567,1.3517599,0.062273003,12,200.8135467948,33.3426925309,436.29297,39.3372,-6.8448353,0.07812422,-7.0542097,0.0708925,-7.4490604,0.11026868,-6.869469,0.10609828,-7.0542097,0.0708925,67,-85.4567,1.3517599,0.21506043
0.24163,0.1057364805,-1.009039,0.09416046,1.250669,0.0694991506,19.454089,0.0872246055,19.695719,0.0597668094,18.44505,0.0354691476,13,200.8130747257,33.3421809376,441.91342,31.351051,-6.937341,0.039066605,-7.074789,0.039250053,-6.991845,0.087160476,-6.9405875,0.05222048,-7.074789,0.039250053,74,41.305145,1.2866108,0.97424054,13,200.8130885708,33.3421468582,441.91342,31.351051,-7.681503,0.036343023,-7.730721,0.03537993,-8.240951,0.05540683,-7.865203,0.043299988,-7.730721,0.03537993,75,41.305145,1.2866108,0.9123413,13,200.8130765758,33.3421342666,441.91342,31.351051,-7.9001994,0.029655468,-7.9376116,0.02907591,-9.022012,0.026947774,-8.340275,0.028112901,-7.9376116,0.02907591,84,41.305145,1.2866108,0.98237014
-103.7783794,99.0005648762,1.021128,140.0071446143,-104.7995074,99.0005675059,125.445934,99.0000000565,21.6675546,0.3344168363,126.467062,99.0000026863,14,200.8466359165,33.342075944,40.661575,29.746809,-6.1683497,0.06362514,-6.429703,0.06388524,99,99,-6.0578756,0.15201017,-6.429703,0.06388524,53,89.10721,2.7632296,0.4247724,14,200.8466545923,33.3420359807,40.661575,29.746809,-3.9716475,0.84841335,-7.1672654,0.08890055,-6.2691154,0.3336652,-4.377485,1.4120665,-7.1672654,0.08890055,19,89.10721,2.7632296,0.5351329,14,200.8466500763,33.3420200852,40.661575,29.746809,99,99,99,99,99,99,99,99,99,99,11,89.10721,2.7632296,0.47514796
0.1733427,0.2456599785,-1.2874073,0.2168848167,1.46075,0.1391261456,20.4281103,0.2097996239,20.601453,0.1278004024,19.140703,0.0549831024,15,200.8105521343,33.3423086239,472.0723,33.191288,-5.866089,0.08002327,-6.2750635,0.078664646,-6.0178237,0.20977297,-6.1437745,0.12485869,-6.1437745,0.12485869,55,-31.960604,1.9031647,0.11852671,15,200.8105656463,33.3422750041,472.0723,33.191288,-5.89253,0.14518747,-6.281925,0.12289714,-7.335217,0.12582046,-6.881947,0.1257709,-6.881947,0.1257709,32,-31.960604,1.9031647,0.29271615,15,200.8105531058,33.3422626875,472.0723,33.191288,-5.7161937,0.16537294,-6.2636833,0.13225678,-8.326359,0.04991256,-7.5703545,0.06585174,-7.5703545,0.06585174,26,-31.960604,1.9031647,0.7169414
0.78791,0.0646618635,-0.185465,0.055360343,0.973375,0.0603247807,18.647548,0.0424667222,19.435458,0.0487620148,18.462083,0.0355154203,16,200.7997732511,33.3409444011,600.9532,13.730442,-7.8203673,0.02452497,-7.923676,0.02458616,-7.798386,0.042334847,-7.8311176,0.0299892,-7.8311176,0.0299892,123,-73.363846,1.6317644,0.97027296,16,200.7997848613,33.340912468,600.9532,13.730442,-8.284994,0.02841204,-8.339865,0.027574576,-8.501212,0.04330796,-8.32667,0.03546684,-8.32667,0.03546684,106,-73.363846,1.6317644,0.9782792,16,200.7997697229,33.3409008997,600.9532,13.730442,-8.200588,0.029908186,-8.261874,0.028950434,-9.004979,0.02700865,-8.643296,0.026316937,-8.643296,0.026316937,106,-73.363846,1.6317644,0.79306567
1.2148983,0.4254321107,-0.946293,0.2424977877,2.1611913,0.3664258038,20.536325,0.2297061038,21.7512233,0.3580887973,19.590032,0.0777192572,17,200.788108878,33.3409811614,740.4121,14.339905,-6.4908214,0.051949117,-6.691971,0.05227615,-5.909609,0.22968176,-6.605946,0.066850215,-6.605946,0.066850215,59,-37.765774,1.5059965,0.95769995,17,200.7881188092,33.3409512728,740.4121,14.339905,-6.1516027,0.12625556,-6.5088253,0.10814037,-6.1854467,0.35738695,-6.432423,0.14892629,-6.432423,0.14892629,36,-37.765774,1.5059965,0.63900083,17,200.7881010711,33.3409408521,740.4121,14.339905,-7.4156938,0.041109074,-7.469245,0.039960027,-7.87703,0.07421863,-7.604841,0.050945897,-7.604841,0.050945897,54,-37.765774,1.5059965,0.9255335
1.672568,0.0493477399,0.814824,0.0406147433,0.857744,0.0579054888,17.790506,0.0191273518,19.463074,0.0454900412,18.60533,0.0358287843,18,200.7915554541,33.340464482,699.2095,6.919212,-8.605436,0.015690979,-8.672984,0.015686706,-8.655428,0.018832747,-8.648027,0.01701878,-8.648027,0.01701878,227,-13.812552,1.3822836,0.05612937,18,200.7915657548,33.3404339159,699.2095,6.919212,-8.30409,0.03371091,-8.406554,0.031936057,-8.473596,0.03958774,-8.392932,0.03681324,-8.392932,0.03681324,162,-13.812552,1.3822836,0.025562013,18,200.791548714,33.3404230431,699.2095,6.919212,-8.578285,0.026001496,-8.648342,0.025061456,-8.861732,0.027419407,-8.70064,0.02744997,-8.70064,0.02744997,177,-13.812552,1.3822836,0.02691055
1.490736,140.0071445082,-105.9384043,99.000025043,107.4291403,99.0000275227,125.445934,99.0000000565,126.93667,99.0000025361,19.5075297,0.0703373173,19,200.7717161871,33.3407646306,936.4055,11.384573,-4.2397003,0.1620067,-4.567979,0.16155268,99,99,-4.717554,0.181588,-4.717554,0.181588,9,51.089886,1.1704316,0.5929356,19,200.7717236913,33.3407375761,936.4055,11.384573,99,99,99,99,99,99,0.41343352,38.971565,0.41343352,38.971565,6,51.089886,1.1704316,0.39359283,19,200.7717022619,33.3407287079,936.4055,11.384573,99,99,99,99,-7.9595323,0.06644893,-5.799974,0.1293542,-5.799974,0.1293542,5,51.089886,1.1704316,0.6438709
105.8660965,99.000661897,-1.9191165,0.3652787824,107.785213,99.0000170548,21.0705735,0.3613224157,126.93667,99.0000025361,19.151457,0.0536162356,20,200.7749388959,33.3407773114,897.87463,11.5354,-4.2031355,0.16184425,-4.5037193,0.16194256,-5.3753605,0.36130694,-4.9722576,0.12961961,-4.9722576,0.12961961,10,33.42892,1.9626393,0.49875996,20,200.7749468698,33.3407496954,897.87463,11.5354,-3.369155,0.6281279,-5.903824,0.1255601,99,99,-2.0975447,3.3593209,-2.0975447,3.3593209,2,33.42892,1.9626393,0.61036277,20,200.7749261619,33.3407405154,897.87463,11.5354,-6.6102815,0.03984296,-6.622803,0.039604157,-8.315605,0.048402715,-6.9210806,0.044388767,-6.9210806,0.044388767,11,33.42892,1.9626393,0.8209549
